order_id,user_id,product_id,old_name,category,price,base_price,quantity,amount,status,region,priority,customer_name,order_date,discount_pct
100001,20001,P1001,Novel,Books,1299.29,1299.29,4,5197.16,Pending,North,Low,Pooja Verma,2025-03-08,0
100002,20002,P1002,Laptop,Electronics,10970.97,10970.97,1,10970.97,Pending,West,High,Rohan Sharma,2024-06-12,15
100003,20003,P1003,Coffee Beans,Grocery,13929.67,13929.67,6,83578.02,Completed,North,Medium,Priya Singh,2024-09-27,20
100004,20004,P1004,Camera,Electronics,22998.27,22998.27,7,160987.89,Completed,East,Low,Priya Singh,2024-07-15,15
100005,20005,P1005,Laptop,Electronics,33080.1,33080.1,2,66160.2,Pending,North,Medium,Priya Gupta,2025-01-14,0
100006,20006,P1006,Sweater,Clothing,13385.54,13385.54,2,26771.08,Pending,South,High,Rohan Kapoor,2024-08-12,15
100007,20007,P1007,Blender,Home & Kitchen,$11490.95,11490.95,6,68945.7,Returned,East,High,Amit Nair,2024-08-05,15
100008,20008,P1008,Pasta Pack,Grocery,44239.92,44239.92,3,132719.76,Cancelled,South,High,Pooja Iyer,2025-03-14,10
100009,20009,P1009,Coffee Beans,Grocery,11005.07,11005.07,9,99045.63,Returned,North,High,Ananya Gupta,2025-03-08,10
100010,20010,P1010,Tablet,Electronics,19111.88,19111.88,9,172006.92,Cancelled,North,Low,Pooja Iyer,2024-12-14,0
100011,20011,P1011,Vacuum Cleaner,Home & Kitchen,$7949.98,7949.98,5,39749.9,Pending,North,Low,Vikram Singh,2024-07-22,0
100012,,P1012,Toaster,Home & Kitchen,26991.98,26991.98,9,242927.82,Completed,East,Medium,Priya Iyer,2024-09-02,0
100013,20013,P1013,Dress,Clothing,,47350.12,8,378800.96,Completed,South,High,Pooja Gupta,2024-09-28,10
100014,20014,P1014,Sunscreen,Beauty,21185.74,21185.74,9,190671.66,Pending,East,Medium,Priya Mehta,2025-06-13,5
100015,,P1015,Smartphone,Electronics,11273.63,11273.63,10,112736.3,Pending,South,High,Vivaan Reddy,2024-03-10,0
100016,20016,P1016,Perfume,Beauty,3589.32,3589.32,8,28714.56,Pending,South,Low,Amit Singh,2025-04-29,0
100017,20017,P1017,Lipstick,Beauty,40384.48,40384.48,2,80768.96,Returned,East,Medium,Vivaan Verma,2024-03-03,5
100018,20018,P1018,Biography,Books,40039.6,40039.6,4,160158.4,Pending,West,High,Rohan Mehta,2024-09-12,20
100019,20019,P1019,Tablet,Electronics,40410.71,40410.71,2,80821.42,Completed,North,High,Meera Gupta,2025-02-20,5
100020,20020,P1020,Olive Oil,Grocery,43239.29,43239.29,3,129717.87,Returned,North,Medium,Rahul Iyer,2025-03-09,15
100021,20021,P1021,Self-Help Book,Books,33110.47,33110.47,4,132441.88,Cancelled,South,High,Pooja Sharma,2024-11-17,0
100022,20022,P1022,Smartwatch,Electronics,23865.59,23865.59,9,214790.31,Pending,North,Low,Ishaan Verma,2024-03-10,15
100023,20023,P1023,Shampoo,Beauty,20218.59,20218.59,10,202185.9,Pending,North,Low,Amit Singh,2025-06-19,0
100024,20024,P1024,Toaster,Home & Kitchen,33502.81,33502.81,5,167514.05,Returned,South,Low,Rahul Nair,2024-03-15,0
100025,20025,P1025,Cereal Box,Grocery,49922.8,49922.8,2,99845.6,Pending,East,High,Aditya Reddy,2025-01-13,0
100026,20026,P1026,Sneakers,Clothing,41695.56,41695.56,10,416955.6,Completed,East,Low,Ananya Iyer,2024-04-28,0
100027,20027,P1027,Self-Help Book,Books,7814.62,7814.62,4,31258.48,Cancelled,South,Low,Rohan Kapoor,2025-05-15,0
100028,20028,P1028,Face Cream,Beauty,4660.31,4660.31,5,23301.55,Completed,North,Medium,Rohan Gupta,2025-03-28,10
100029,20029,P1029,Sci-Fi Book,Books,28067.3,28067.3,3,84201.9,Completed,East,Low,Neha Gupta,2024-02-12,0
100030,20030,P1030,Blender,Home & Kitchen,44951.29,44951.29,4,179805.16,Completed,East,Low,Neha Singh,2024-06-07,0
100031,20031,P1031,Shampoo,Beauty,48811.49,48811.49,7,341680.43,Completed,South,Low,Neha Reddy,2024-09-30,0
100032,20032,P1032,Face Cream,Beauty,$19157.96,19157.96,8,153263.68,Pending,South,Medium,Meera Reddy,2024-01-25,15
100033,20033,P1033,Sneakers,Clothing,16446.68,16446.68,5,82233.4,Cancelled,West,Low,Pooja Nair,2024-01-29,0
100034,20034,P1034,Toaster,Home & Kitchen,29050.46,29050.46,1,29050.46,Completed,West,Medium,Arjun Rao,2025-06-07,0
100035,20035,P1035,Cereal Box,Grocery,$9544.43,9544.43,7,66811.01,Completed,South,Medium,Arjun Singh,2024-11-17,15
100036,20036,P1036,Face Cream,Beauty,36001.73,36001.73,5,180008.65,Returned,East,Medium,Pooja Gupta,2024-07-15,5
