Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2014-115812,6/9/2014,6/14/2014,Same Day,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,1025.352,6,0.4,-25.6338
37,CA-2016-117590,12/8/2016,12/10/2016,Same Day,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",458.208,6,0.2,-263.4696
53,CA-2015-115742,4/18/2015,4/22/2015,Same Day,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",143.984,2,0.2,12.9586
57,CA-2016-111682,6/17/2016,6/18/2016,Same Day,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,36.288,7,0.2,13.7894
66,CA-2015-135545,11/24/2015,11/30/2015,Same Day,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,89.73,5,0.1,20.6379
379,CA-2015-130792,4/28/2015,5/5/2015,Second Class,RA-19915,Russell Applegate,Consumer,United States,Houston,Texas,77095,Central,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,57.68,4,0.0,-112.476
421,CA-2017-110478,3/4/2017,3/9/2017,Same Day,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,90045,West,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",25.925,2,0.15,9.9811
439,CA-2017-130043,9/15/2017,9/19/2017,Second Class,BB-11545,Brenda Bowman,Corporate,United States,Houston,Texas,77070,Central,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,35.856,9,0.2,12.9978
501,US-2016-105578,5/30/2016,6/4/2016,Same Day,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,22.62,1,0.4,-11.687
572,CA-2017-164826,12/28/2017,1/4/2018,Same Day,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,10024,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,10.47,3,0.0,4.8162
602,US-2016-100720,7/16/2016,7/21/2016,First Class,CK-12205,Chloris Kastensmidt,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,2.19,1,0.4,0.0547
609,US-2014-105767,5/23/2014,5/27/2014,Same Day,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10001246,Office Supplies,Art,Newell 317,25.872,11,0.2,2.9106
795,CA-2014-156433,9/20/2014,9/26/2014,Same Day,ES-14020,Erica Smith,Consumer,United States,San Francisco,California,94110,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",32.58,6,0.0,15.9642
857,CA-2014-125612,8/3/2014,8/8/2014,Second Class,BK-11260,Berenike Kampe,Consumer,United States,New York City,New York,10035,East,OFF-SU-10002537,Office Supplies,Supplies,Acme Box Cutter Scissors,85.932,12,0.3,9.4525
921,CA-2014-138296,12/5/2014,12/12/2014,First Class,RC-19825,Roy Collins,Consumer,United States,Alexandria,Virginia,22304,South,OFF-ST-10002444,Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,10.438,1,0.15,2.1398
1024,CA-2015-167269,6/16/2015,6/20/2015,Same Day,PB-19150,Philip Brown,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-EN-10003072,Office Supplies,Envelopes,Peel & Seel Envelopes,11.64,3,0.0,5.238
1042,CA-2016-102981,9/6/2016,9/9/2016,Standard Class,MO-17500,Mary O'Rourke,Consumer,United States,New York City,New York,10035,East,TEC-AC-10004761,Technology,Accessories,Maxell 4.7GB DVD+RW 3/Pack,13.5405,1,0.15,3.7236
1112,US-2016-110156,11/19/2016,11/24/2016,First Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,6.48,1,0.0,2.916
1168,CA-2017-145226,12/8/2017,12/10/2017,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10035,East,FUR-FU-10004952,Furniture,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",49.266,1,0.1,12.8092
1210,CA-2016-137050,7/14/2016,7/18/2016,First Class,SW-20755,Steven Ward,Corporate,United States,New York City,New York,10009,East,OFF-AR-10004999,Office Supplies,Art,Newell 315,37.674,9,0.3,3.7674
