customer_id,customer_name,email,customer_type,registration_date,valid_email
C001,Amanda Huber,gmoreno@example.com,VIP,2024-11-10,True
C002,Ariana Murphy,mckinneyandrew@example.org,VIP,2023-12-19,True
C003,Christina Luna,kingbenjamin@example.com,Premium,2023-02-17,True
C004,Richard King,gilmorechristine@example.org,Regular,2023-01-02,True
C005,Thomas Miller,martinjames@example.com,Regular,2024-06-09,True
C006,Ivan Stevenson,marygibson@example.com,Regular,2025-12-16,True
C007,Jeff Lee,nelsonkevin@example.com,Premium,2024-09-28,True
C008,Cindy Warner,fbarnett@example.org,Premium,2023-02-24,True
C009,Taylor Bruce,harveyamy@example.org,Regular,2023-04-24,True
C010,Marcus Kirk,matthew82@example.net,VIP,2024-07-07,True
C011,Ian Patel,rossmatthew@example.com,VIP,2023-07-25,True
C012,Haley Lang,michellelee@example.org,VIP,2024-07-30,True
C013,Mr. Eric Ray,dominique16@example.com,Regular,2026-03-29,True
C014,Jennifer Smith,rromero@example.org,Premium,2024-08-04,True
C015,Joseph Gonzales,powersalec@example.org,Regular,2025-06-16,True
C016,Brittney Williams,ibaxter@example.com,Premium,2026-02-13,True
C017,Mrs. Sandra Murphy,hpetty@example.net,Premium,2023-03-09,True
C018,Michael Gibson,woodwardbonnie@example.net,Regular,2023-10-01,True
C019,Emma Leach,scottlewis@example.com,Premium,2023-06-24,True
C020,Patrick Orr,zachary82@example.com,Regular,2024-02-23,True
C021,Michael Gregory,afletcher@example.net,Regular,2024-03-13,True
C022,Karla Rodriguez,reyesantonio@example.com,VIP,2023-05-15,True
C023,Megan Harris,rebecca12@example.org,Premium,2025-03-29,True
C024,Daniel Johnson,xking@example.com,Regular,2026-05-19,True
C025,Jason Bailey,lisa60@example.org,Premium,2025-08-15,True
C026,Michele Patel,meyerdakota@example.org,Regular,2024-02-11,True
C027,Ricardo Ford,foxedward@example.com,Regular,2024-01-18,True
C028,Shannon Evans,masonjacob@example.net,Regular,2024-06-25,True
C029,Christopher Bennett,natalieallen@example.com,VIP,2024-09-07,True
C030,Brenda Powers,twells@example.org,VIP,2023-12-19,True
C031,Lisa Armstrong,joshuadunn@example.net,Premium,2025-09-28,True
C032,Justin Salinas,benjamin54@example.net,VIP,2024-06-02,True
C033,Kevin Garcia,marc61@example.org,VIP,2025-04-03,True
C034,Timothy Diaz,rprice@example.com,Premium,2025-03-20,True
C035,Stephen Dudley,vgarcia@example.net,VIP,2023-10-17,True
C036,Brendan Porter,juliahanson@example.org,Regular,2025-06-24,True
C037,Emily Lopez,walkerbradley@example.org,Regular,2023-10-06,True
C038,Gina Rivas,michael33@example.org,Regular,2025-12-25,True
C039,Kristine Anderson,kingjoel@example.org,Premium,2026-07-08,True
C040,Mark Harris,kristen00@example.com,VIP,2025-05-08,True
C041,Katelyn Watkins,meganwood@example.org,VIP,2026-04-03,True
C042,Jennifer Jackson,martinjames@example.com,VIP,2025-05-13,True
C043,Jonathan Armstrong,christopherbaker@example.com,Premium,2026-01-03,True
C044,Shawn Woods,shelbyhunt@example.net,Premium,2024-03-01,True
C045,Denise Wilson,brian68@example.org,VIP,2025-04-18,True
C046,Faith Boyle,reynoldsmadison@example.net,Regular,2024-01-13,True
C047,Timothy Miller,james03@example.com,Premium,2024-01-20,True
C048,Tamara Washington,bergjanet@example.com,VIP,2025-04-27,True
C049,Anna Allison,bradgilbert@example.org,Premium,2025-11-19,True
C050,Kayla Calderon,hansonconnor@example.org,Premium,2025-05-13,True
C051,Christine Christensen,kfarrell@example.org,VIP,2023-08-16,True
C052,Andrew Garcia,brewerjames@example.com,VIP,2024-03-09,True
C053,Angela Wallace,katherine85@example.org,VIP,2023-08-15,True
C054,Molly Brown,stacey83@example.com,Regular,2023-12-10,True
C055,Richard Ross,joshuakline@example.org,VIP,2023-04-20,True
C056,Beth Cooley,kimnicholas@example.net,Premium,2025-08-28,True
C057,Colleen Crawford,mdavidson@example.org,Premium,2026-06-30,True
C058,Kenneth Williams,cindylowe@example.org,VIP,2023-10-07,True
C059,Melvin Sweeney,yolandahunt@example.org,Premium,2026-06-23,True
C060,Rita Brooks,goldensheila@example.net,VIP,2024-03-22,True
C061,David Wright,kyle45@example.org,VIP,2023-08-31,True
C062,Nathan Griffith,vickiesmith@example.com,Premium,2024-03-15,True
C063,Gregory Randall,mendozamark@example.net,Regular,2026-04-08,True
C064,Emily Zavala,moorejohnny@example.org,VIP,2026-02-18,True
C065,Lauren Alexander,grantgregory@example.org,VIP,2023-03-16,True
C066,Amy Robinson,bellbenjamin@example.net,Premium,2025-02-24,True
C067,Scott Rivas,erica38@example.com,Premium,2023-02-08,True
